level_0,index,Solvent,dS (J/mol/K),Temp (C),BASE_State,BASE_Category,Monomer SMILES,Canonical SMILES,BASE_Monomer_State,BASE_Polymer_State,Source,Year
183,185,,-21.0,225.0,ls ,ROP,CC1CCCCC(=O)N1,CC1CCCCC(=O)N1,l,,PHB,1999
184,186,,-32.0,25.0,ls,cyclic,CC1CCCCC1,CC1CCCCC1,l,s,PHB,1999
185,187,,-11.0,260.0,ls ,ROP,CC1CCCCNC1=O,CC1CCCCNC1=O,l,,PHB,1999
186,188,,-34.0,,ls,ROP,C1CCOC(=O)C(C)1,CC1CCCOC1=O,l,s,Aliphatic Polyester Block Polymer Design,2016
187,189,dichloroethane,-38.8,-15.0,ss,cationic,CC1CCCOCO1,CC1CCCOCO1,s,s,PHB,1999
188,190,toluene,8.65,,ss,ROP,CC1CCCSC(=S)S1,CC1CCCSC(=S)S1,s,s,"Recyclable Sulfur-Rich Polymers with Enhanced Thermal, Mechanical, and Optical Performance",2022
189,191,chloroform-D,-26.2,,ss,ROP,O=C1SCCCC1C,CC1CCCSC1=O,s,s,Modulating Polymerization Thermodynamics ofThiolactones Through Substituent andHeteroatom Incorporation,2022
190,192,,-16.0,200.0,ls ,ROP,CC1CCNC(=O)CC1,CC1CCNC(=O)CC1,l,,PHB,1999
191,193,,-46.0,,ls,ROP,C1(C)CCOC(=O)C1,CC1CCOC(=O)C1,l,s,Scalable production of mechanically tunable block polymers from sugar,2014
192,194,,-100.9,-6.0,ls,cationic,CC1CCOC1,CC1CCOC1,l,s,PHB,1999
193,195,,-189.0,25.0,gg,cationic,CC1CO1,CC1CO1,g,g,PHB,1999
194,196,,10.1,,ls,ROP,O=C(OCC(C)COC(C1=CC=C(C(OCC(C)COC2=O)=O)C=C1)=O)C3=CC=C2C=C3,CC1COC(=O)c2ccc(cc2)C(=O)OCC(C)COC(=O)c2ccc(cc2)C(=O)OC1,l,s,Thermodynamics of Aromatic Cyclic Ester Polymerization in Bulk,2019
195,197,,-53.2,-8.0,ls,cationic,CC1COCO1,CC1COCO1,l,s,PHB,1999
196,198,dichloromethane,-11.3,,ss,ROMP,CC2O[C@H]1CC/C=C\CC[C@@H]1O2,CC1O[C@H]2CC/C=C\CC[C@@H]2O1,s,s,Understanding the Structure_Polymerization Thermodynamics Relationships of Fused-Ring Cyclooctenes for Developing Chemically Recyclable Polymers,2022
197,199,,31.3,25.0,ls,ROP,CC1C(=O)OC(C(=O)O1)C,CC1OC(=O)C(C)OC1=O,l,s,PHB,1999
198,200,,-13.0,127.0,ls,ROP,CC1C(=O)OC(C(=O)O1)C,CC1OC(=O)C(C)OC1=O,l,s,PHB,1999
199,201,dichloromethane,-11.3,,ss,ROMP,CC1OC2CC/C=C\CCC2O1,CC1OC2CC/C=C\CCC2O1,s,s,Understanding the Structure Polymerization Thermodynamics Relationships of Fused-Ring Cyclooctenes for Developing Chemically Recyclable Polymers	,2022
200,202,,-52.0,,ls,ROP,O1C(C)OC(=O)CC1,CC1OCCC(=O)O1,l,s,Divergent Mechanistic Avenues to an Aliphatic Polyesteracetal or Polyester from a Single Cyclic Esteracetal,2014
201,203,"1,2-dichloroethane",-37.2,15.0,ss,cationic,CC1OCCCCO1,CC1OCCCCO1,s,s,PHB,1999
202,204,dichloromethane,-39.0,-10.0,ss,cationic,CC1OCCCCO1,CC1OCCCCO1,s,s,PHB,1999
203,205,toluene,-42.0,,ss,ROP,C1COC(=O)C(C)O1,CC1OCCOC1=O,s,s,Aliphatic Polyester Block Polymer Design,2016
204,206,,-39.2,,ls,ROP,C1COC(=O)C(C)O1,CC1OCCOC1=O,l,s,Biodegradable poly(ester-ether)s: ring-opening polymerization of DL-3-methyl-14-dioxan-2-one using various initiator systems,2010
205,207,,-55.3,80.0,ls,cationic,CC1C(OCO1)C,CC1OCOC1C,l,s,PHB,1999
206,208,toluene,-23.9,,ss,ROP,CC1SC(=O)C(C)SC1=O,CC1SC(=O)C(C)SC1=O,s,s,"O-to-S SubstitutionEnablesDovetailingConflictingCyclizabil ity, Polymerizability,andRecyclability:Dithiolactonevs.Dilactone",2021
207,209,,-39.9,,ls,ROP,CC1SCCSC1=O,CC1SCCSC1=O,l,s,Modulating Polymerization Thermodynamics ofThiolactones Through Substituent andHeteroatom Incorporation,2022
208,210,,-73.3,,ls,ionic,CCC=O,CCC=O,l,s,PHB,1999
209,211,tetrahydrofuran,-10.0,,ss,ROP,CCC2(c1ccccc1)COC(=O)OC2,CCC1(c2ccccc2)COC(=O)OC1,s,s,Substituent Effect on the Anionic Equilibrium Polymerization of Six-Membered Cyclic Carbonates,1998
210,212,toluene,-79.6,,ss,ROP,C1CCOC(=O)C(CC)(CC)1,CCC1(CC)CCCOC1=O,s,s,A circular polyester platform based on simple gem-disubstituted valerolactones,2023
211,213,tetrahydrofuran,-45.6,,ss,ROP,CCC1(CC)COC(=O)OC1,CCC1(CC)COC(=O)OC1,s,s,Substituent Effect on the Anionic Equilibrium Polymerization of Six-Membered Cyclic Carbonates,1998
212,214,,-30.7,,ls,ROP,O=C1C(CC)CCC(CC)O1,CCC1CCC(CC)C(=O)O1,l,s,Tunable and recyclable polyesters from CO2 and butadiene,2022
213,215,,-55.0,,ls,ROP,CCC1CCCC(=O)O1,CCC1CCCC(=O)O1,l,s,Aliphatic Polyester Block Polymer Design,2016
214,216,,-59.4,-24.0,ls,cationic,CCC1COCO1,CCC1COCO1,l,s,PHB,1999
215,217,dichloromethane,-38.9,,ss,ionic,CCCC=O,CCCC=O,s,s,Determination of ceiling temperature and thermodynamic properties of low ceiling temperature polyaldehydes,2018
216,218,n-hexane,-122.0,10.0,ss,ionic,CCCC=O,CCCC=O,s,s,PHB,1999
217,219,toluene,-70.2,,ss,ROP,C1CCOC(=O)C(CCC)(CCC)1,CCCC1(CCC)CCCOC1=O,s,s,A circular polyester platform based on simple gem-disubstituted valerolactones,2023
218,220,,-60.0,,ls,ROP,CCCC1CCCC(=O)O1,CCCC1CCCC(=O)O1,l,s,Aliphatic Polyester Block Polymer Design,2016
219,221,dichloromethane,-12.1336,,ss,misc,O=CC1=CC(C#CCCCC)=C(C#CCCCC)C=C1C=O,CCCCC#Cc1cc(C=O)c(C=O)cc1C#CCCCC,s,s,Functionalized and Degradable Polyphthalaldehyde Derivatives,2019
220,222,tetrahydrofuran,-107.6,-75.0,ss,ionic,CCCCC=O,CCCCC=O,s,s,PHB,1999
221,223,,-97.1,-75.0,ls,ionic,CCCCC=O,CCCCC=O,l,s,PHB,1999
222,224,toluene,-53.9,,ss,ROP,C1CCOC(=O)C(CCCC)(CCCC)1,CCCCC1(CCCC)CCCOC1=O,s,s,A circular polyester platform based on simple gem-disubstituted valerolactones,2023
223,225,dichloromethane,-20.92,,ss,ROMP,CCCCC2(CCCC)O[C@H]1CC/C=C\CC[C@@H]1O2,CCCCC1(CCCC)O[C@H]2CC/C=C\CC[C@@H]2O1,s,s,Understanding the Structure Polymerization Thermodynamics Relationships of Fused-Ring Cyclooctenes for Developing Chemically Recyclable Polymers,2022
224,226,dichloromethane,-20.9,,ss,ROMP,CCCCC1(CCCC)OC2CC/C=C\CCC2O1,CCCCC1(CCCC)OC2CC/C=C\CCC2O1,s,s,Understanding the Structure Polymerization Thermodynamics Relationships of Fused-Ring Cyclooctenes for Developing Chemically Recyclable Polymers	,2022
225,227,,-55.0,,ls,ROP,CCCCC1CCCC(=O)O1,CCCCC1CCCC(=O)O1,l,s,Aliphatic Polyester Block Polymer Design,2016
226,228,dichloroethane,-33.0,-5.0,ss,cationic,CCCCC1OCCCCO1,CCCCC1OCCCCO1,s,s,PHB,1999
227,229,toluene,-16.0,10.0,ss,cationic,CCCCC1OCCOCCO1,CCCCC1OCCOCCO1,s,s,PHB,1999
228,230,,-116.0,,ls,ionic,CCCCCC=O,CCCCCC=O,l,s,PHB,1999
229,231,toluene,-46.5,,ss,ROP,C1CCOC(=O)C(CCCCC)(CCCCC)1,CCCCCC1(CCCCC)CCCOC1=O,s,s,A circular polyester platform based on simple gem-disubstituted valerolactones,2023
230,232,,55.5,,ls,ROP,CCCCCC1CCCC(=O)O1,CCCCCC1CCCC(=O)O1,l,s,Aliphatic Polyester Block Polymer Design,2016
231,233,,-110.0,97.0,ls,ionic,CCCCCCC=O,CCCCCCC=O,l,s,PHB,1999
232,234,toluene,-65.6,,ss,ROP,C1CCOC(=O)C(CCCCCC)(CCCCCC)1,CCCCCCC1(CCCCCC)CCCOC1=O,s,s,A circular polyester platform based on simple gem-disubstituted valerolactones,2023
233,235,,-58.0,,ls,ROP,CCCCCCC1CCCC(=O)O1,CCCCCCC1CCCC(=O)O1,l,s,Aliphatic Polyester Block Polymer Design,2016
234,236,tetrahydrofuran,-65.7,-75.0,ss,ionic,CCCCCCCC=O,CCCCCCCC=O,s,s,PHB,1999
235,237,,-57.8,-75.0,ls,ionic,CCCCCCCC=O,CCCCCCCC=O,l,s,PHB,1999
236,238,,-59.0,,ls,ROP,CCCCCCCC1CCCC(=O)O1,CCCCCCCC1CCCC(=O)O1,l,s,Aliphatic Polyester Block Polymer Design,2016
237,239,,-55.0,,ls,ROP,CCCCCCCCCC1CCCC(=O)O1,CCCCCCCCCC1CCCC(=O)O1,l,s,Aliphatic Polyester Block Polymer Design,2016
238,240,,-148.0,,ls,vinyl,CCCCCCCCCCOC(=O)C=C,CCCCCCCCCCOC(=O)C=C,l,s,PHB,1999
239,241,tetrachloroethane,-80.7512,,ss,misc,O=C(N1CCCCCCCC)C2=CC(C=O)=C(C=O)C=C2C1=O,CCCCCCCCN1C(=O)c2cc(C=O)c(C=O)cc2C1=O,s,s,Functionalized and Degradable Polyphthalaldehyde Derivatives,2019
240,242,dichloromethane,-2.4,100.0,ss,cationic,CCCOP1(=O)OCCCO1,CCCOP1(=O)OCCCO1,s,s,PHB,1999
241,243,chloroform,-41.0,60.0,ss,ROMP,O=C(C(C#N)c1c(occ2)c2c(C(C(OCC)=O)C#N)cc1)OCC,CCOC(=O)C(C#N)c1ccc(C(C#N)C(=O)OCC)c2occc12,s,s,PHB,1999
242,244,dichloromethane,-98.0,,ss,ionic,CCOC(=O)C=O,CCOC(=O)C=O,s,s,Study of the in vitro degradation of poly(ethyl glyoxylate),2008
243,245,anisole,-51.7,,ss,cationic,O=C(OCC)CCCCC1SSCC1,CCOC(=O)CCCCC1CCSS1,s,s,Radical ring-opening polymerization of lipoates: Kinetic and thermodynamic aspects,2021
244,246,dichloromethane,1.5,100.0,ss,cationic,CCOP1(=O)OCCCO1,CCOP1(=O)OCCCO1,s,s,PHB,1999
245,247,,-83.0,25.0,ls,cationic,C1C(CO1)(CCl)CCl,ClCC1(CCl)COC1,l,s,PHB,1999
246,248,toluene,-18.0,,ss,cyclic,CN1[Si](C)(C)O[Si](C)(C)O[Si]1(C)C,CN1[Si](C)(C)O[Si](C)(C)O[Si]1(C)C,s,s,Equilibrium Anionic Ring-Opening Polymerization of a Six-Membered Cyclosiloxazane,2007
247,249,,-25.0,25.0,ls,ROP,CN1CCCCC1=O,CN1CCCCC1=O,l,s,PHB,1999
248,250,,-29.0,250.0,ls,ROP,CN1CCCCCC1=O,CN1CCCCCC1=O,l,s,PHB,1999
249,251,dichloromethane,-99.0,,ss,ionic,COC(=O)C=O,COC(=O)C=O,s,s,Study of the in vitro degradation of poly(methyl glyoxylate),2008
250,252,xylene,-15.0624,,ss,ROMP,COC(=O)C2[C@H]1CC/C=C\CC[C@@H]1C2C(=O)OC,COC(=O)C1C(C(=O)OC)[C@H]2CC/C=C\CC[C@H]12,s,s,Olefin metathesis-based chemically recyclable polymers enabled by fused-ring monomers,2021
251,253,dichloromethane,-15.1,,ss,ROMP,O=C(C1C(C(OC)=O)C2CC/C=C\CCC21)OC,COC(=O)C1C2CC/C=C\CCC2C1C(=O)OC,s,s,Understanding the Structure Polymerization Thermodynamics Relationships of Fused-Ring Cyclooctenes for Developing Chemically Recyclable Polymers	,2022
252,254,chloroform-D,-62.3416,,ss,misc,O=CC1=CC(C(OC)=O)=C(C(OC)=O)C=C1C=O,COC(=O)c1cc(C=O)c(C=O)cc1C(=O)OC,s,s,Functionalized and Degradable Polyphthalaldehyde Derivatives,2019
253,255,tetrahydrofuran,-62.2,,ss,ROMP,O=C(OC)C1CC=CC1,COC(=O)C1CC=CC1,s,s,Dynamic Remodeling of Covalent Networks via Ring-Opening Metathesis Polymerization,2018
254,256,methanol,-41.0,,ss,ROP,COC(=O)C1CCC(=O)OC1,COC(=O)C1CCC(=O)OC1,s,s,A Carbomethoxylated Polyvalerolactone from Malic Acid: Synthesis and Divergent Chemical Recycling,2018
255,257,tetrahydrofuran,60.0,,ss,cyclic,O=C(OC)CCCCC1SSCC1,COC(=O)CCCCC1CCSS1,s,s,Architecture-Controlled Ring-Opening Polymerization for Dynamic Covalent Poly(disulfide)s,2019
256,258,dimethylformamide+dimethylsulfoxide,-31.0,,ss,misc,O=[N+](C1=CC(CC(OC)CCCS2)=C2C=C1)[O-],COC1CCCSc2ccc([N+](=O)[O-])cc2C1,s,s,Chemically Recyclable Polymer System Based on Nucleophilic Aromatic Ring-Opening Polymerization,2023
257,259,tetrahydrofuran,-77.0,-80.0,ss,ionic,COCCOCCC=O,COCCOCCC=O,s,s,PHB,1999
258,260,,-67.4,80.0,ls,ionic,COCCOCCC=O,COCCOCCC=O,l,s,PHB,1999
259,261,dichloromethane,-2.5,100.0,ss,cationic,COP1(=O)OCCCO1,COP1(=O)OCCCO1,s,s,PHB,1999
260,262,,-11.7,140.0,ls,cationic,COP1(=O)OCCCO1,COP1(=O)OCCCO1,l,s,PHB,1999
261,263,tetrahydrofuran,-56.3,,ss,ROMP,OC(C1CC=CC1)=O,O=C(O)C1CC=CC1,s,s,Dynamic Remodeling of Covalent Networks via Ring-Opening Metathesis Polymerization,2018
262,264,tetrahydrofuran,-81.4,,ss,ROMP,O=C(OCC1=CC=CC=C1)C2CC=CC2,O=C(OCc1ccccc1)C1CC=CC1,s,s,Dynamic Remodeling of Covalent Networks via Ring-Opening Metathesis Polymerization,2018
263,265,xylene,-20.5,,ss,ROMP,O=C3[C@@H]2[C@H]1CC/C=C\CC[C@@H]1[C@@H]2C(=O)N3c4ccccc4,O=C1[C@@H]2[C@H]3CC/C=C\CC[C@@H]3[C@@H]2C(=O)N1c1ccccc1,s,s,Olefin metathesis-based chemically recyclable polymers enabled by fused-ring monomers,2021
264,266,dimethylformamide,-86.0,55.0,ss,vinyl,O=C1C=CC(=O)N1c2ccccc2,O=C1C=C(c2ccccc2)C(=O)N1,s,s,PHB,1999
265,267,dichloromethane,-20.5,,ss,ROMP,O=C1N(C2=CC=CC=C2)C(C3C4CC/C=C\CCC4C31)=O,O=C1C2C3CC/C=C\CCC3C2C(=O)N1c1ccccc1,s,s,Understanding the Structure Polymerization Thermodynamics Relationships of Fused-Ring Cyclooctenes for Developing Chemically Recyclable Polymers	,2022
266,268,,-65.0,,ls,ROP,O=C2CC1CCCCC1O2,O=C1CC2CCCCC2O1,l,s,Ring-opening polymerization of a five-membered lactone trans-fused to a cyclohexane ring,2013
267,269,,21.0,127.0,ls,ROP,C1CCCCCCCCCCCOC(=O)CCC1,O=C1CCCCCCCCCCCCCCCO1,l,s,PHB,1999
268,270,,23.0,97.0,ls,ROP,C1CCCCCCCCCCOC(=O)CCC1,O=C1CCCCCCCCCCCCCCO1,l,s,PHB,1999
269,271,,25.0,127.0,ls,ROP,C1CCCCCCCCCOC(=O)CCC1,O=C1CCCCCCCCCCCCCO1,l,s,PHB,1999
270,272,,26.0,127.0,ls,ROP,C1CCCCCCCCOC(=O)CCC1,O=C1CCCCCCCCCCCCO1,l,s,PHB,1999
271,273,,25.0,127.0,ls,ROP,C1CCCCCCCOC(=O)CCC1,O=C1CCCCCCCCCCCO1,l,s,PHB,1999
272,274,,-16.0,290.0,ls,ROP,C1CCCCCCCCNC(=O)C1,O=C1CCCCCCCCCCN1,l,s,PHB,1999
273,275,,24.5,,ls,ROP,C1CCCCCCOC(=O)CCC1,O=C1CCCCCCCCCCO1,l,s,PHB,1999
274,276,,18.0,127.0,ls,ROP,C1CCCCCOC(=O)CCC1,O=C1CCCCCCCCCO1,l,s,PHB,1999
275,277,,12.0,127.0,ls,ROP,C1CCCCOC(=O)CCC1,O=C1CCCCCCCCO1,l,s,PHB,1999
276,278,,5.0,127.0,ls,ROP,C1CCCCOC(=O)CC1,O=C1CCCCCCCO1,l,s,PHB,1999
277,279,,-17.0,25.0,ls,ROP,C1CCCCNC(=O)C1,O=C1CCCCCCN1,l,s,PHB,1999
278,280,toluene,-33.5,,ss,ROP,O=C1OCCCCCC1,O=C1CCCCCCO1,s,s,"Organocatalytic ring-opening polymerization of thionolactones: anything O can do, S can do better",2021
279,281,,127.0,,ls,ROP,C1CCCOC(=O)CC1,O=C1CCCCCCO1,l,s,PHB,1999
280,282,,-29.0,250.0,ls,ROP,C1CCC(=O)NCC1,O=C1CCCCCN1,l,s,PHB,1999
281,283,dichloromethane+toluene,-6.0,,ss,ROP,O=C1CCCCCO1,O=C1CCCCCO1,s,s,"Controlled Ring-Opening Polymerization of Lactones and Lactides Initiated by Lanthanum Isopropoxide, 1",2002
282,284,toluene,-53.9,,ss,ROP,C1CCC(=O)OCC1,O=C1CCCCCO1,s,s,Thermodynamic Presynthetic Conditions,2016
283,285,dichloromethane+toluene,-6.0,,ss,ROP,C1CCC(=O)OCC1,O=C1CCCCCO1,s,s,Aliphatic Polyester Block Polymer Design,2016
284,286,,-6.0,,ls,ROP,C1CCC(=O)OCC1,O=C1CCCCCO1,l,s,Aliphatic Polyester Block Polymer Design,2016
285,287,,-25.0,25.0,ls,ROP,C1CCNC(=O)C1,O=C1CCCCN1,l,s,PHB,1999
286,288,toluene,-30.8,,ss,ROP,C1CCOC(=O)C1,O=C1CCCCO1,s,s,A circular polyester platform based on simple gem-disubstituted valerolactones,2023
287,289,dichloromethane+toluene,-14.7,,ss,ROP,C1CCOC(=O)C1,O=C1CCCCO1,s,s,Aliphatic Polyester Block Polymer Design,2016
288,290,,-14.0,,ls,ROP,C1COC(=O)CC1,O=C1CCCCO1,l,s,PHB,1999
289,291,tetrahydrofuran,-23.7,,ss,ROP,O=C1CCCCS1,O=C1CCCCS1,s,s,Modulating Polymerization Thermodynamics ofThiolactones Through Substituent andHeteroatom Incorporation,2022
290,292,toluene,-39.6,,ss,ROP,C1CC(=O)OC1,O=C1CCCO1,s,s,Completely recyclable biopolymers with linear and cyclic topologies via ring-opening polymerization of gammabutyrolactone,2016
291,293,,-30.0,25.0,ls,ROP,C1CC(=O)OC1,O=C1CCCO1,l,s,PHB,1999
292,294,,-51.0,127.0,ls,ROP,C1COC1=O,O=C1CCO1,l,s,PHB,1999
293,295,,-17.5,277.0,ls,ROP,C1C(=O)OCC(=O)O1,O=C1COC(=O)CO1,l,s,PHB,1999
294,296,,-13.0,127.0,ls,ROP,C1COC(=O)CO1,O=C1COCCO1,l,s,PHB,1999
295,297,,-30.8,,ls,ROP,O=C1CSCCS1,O=C1CSCCS1,l,s,Modulating Polymerization Thermodynamics ofThiolactones Through Substituent andHeteroatom Incorporation,2022
296,298,benzene,-12.0,,ss,cationic,C1C(=O)OC(=O)CSS1,O=C1CSSCC(=O)O1,s,s,PHB,1999
297,299,dimethyl sulfoxide,-71.5,,ss,ROP,O=C1N[C@H]2CCC[C@@H]1O2,O=C1N[C@H]2CCC[C@@H]1O2,s,s,Equilibrium anionic polymerization of bicyclic oxalactam,1989
298,300,N-Methyl-2-pyrrolidone,-20.1,,ls,ROP,O=C1NC2CCCC1C2,O=C1NC2CCCC1C2,l,s,Redesigned Hybrid Nylons with Optical Clarity and Chemical Recyclability,2022
299,301,,0.0,,ls,ROP,O=C1NCCCO1,O=C1NCCCO1,l,s,"Calorimetric study of tetrahydro-1,3-oxazin-2-oneand poly(oxy-1,3-propanediyliminocarbonyl), and the polymerizatioddepolymerization equilibrium",1997
300,302,toluene,-55.8,,ss,ROP,O=C1[C@H]2C[C@@H](O1)CCC2,O=C1O[C@H]2CCC[C@@H]1C2,s,s,"Hybrid monomer design for unifying conflicting polymerizability, recyclability, and performance properties",2021
301,303,toluene,-58.3,,ss,ROMP,O=C1C2CC(O1)C=CC2,O=C1OC2C=CCC1C2,s,s,Closing the One Monomer Two Polymers One Monomer Loop via Orthogonal (De)polymerization of a Lactone/Olefin Hybrid,2022
302,304,toluene,-88.7,,ss,ROP,O=C1C2CC(O1)C=CC2,O=C1OC2C=CCC1C2,s,s,Closing the One Monomer Two Polymers One Monomer Loop via Orthogonal (De)polymerization of a Lactone/Olefin Hybrid,2022
303,305,toluene,-58.3,,ss,ROMP,O=C1OC2C=CCC1C2,O=C1OC2C=CCC1C2,s,s,Closing the “One Monomer_Two Polymers_One Monomer” Loop via Orthogonal (De)polymerization of a Lactone/Olefin Hybrid,2022
304,306,toluene,-88.7,,ss,ROP,O=C1OC2C=CCC1C2,O=C1OC2C=CCC1C2,s,s,Closing the “One Monomer_Two Polymers_One Monomer” Loop via Orthogonal (De)polymerization of a Lactone/Olefin Hybrid,2022
305,307,,-127.7,25.0,gg,ROP,O=C1OC2CCC1CC2,O=C1OC2CCC1CC2,g,g,PHB,1999
306,308,,-76.2,25.0,ls,ROP,O=C1OC2CCC1CC2,O=C1OC2CCC1CC2,l,s,PHB,1999
307,309,toluene,-55.8,,ss,ROP,O=C1OC2CCCC1C2,O=C1OC2CCCC1C2,s,s,"Hybrid monomer design for unifying conflicting polymerizability, recyclability, and performance properties",2021
308,310,diglyme+tetrahydrofuran,-63.0,,ss,ROP,O=C2OC1CCCCC1O2,O=C1OC2CCCCC2O1,s,s,The anionic ring-opening polymerization of five-membered cyclic carbonates fused to the cyclohexane ring,2013
309,311,toluene,-72.0,,ss,ROP,O=C1OCC2CCCCC12,O=C1OCC2CCCCC12,s,s,A synthetic polymer system with repeatable chemical recyclability,2018
310,312,tetrahydrofuran,-44.8,,ss,ROP,O=C1OCCCO1,O=C1OCCCO1,s,s,Substituent Effect on the Anionic Equilibrium Polymerization of Six-Membered Cyclic Carbonates,1998
311,313,,-15.0,142.0,ls,ROP,C1COC(=O)C(=O)O1,O=C1OCCOC1=O,l,s,PHB,1999
312,314,,-55.7,,ls,ROP,O=C1S[C@@H]2CC[C@H]1C2,O=C1S[C@@H]2CC[C@H]1C2,l,s,High-performance pan-tactic polythioesters with intrinsic crystallinity and chemical recyclability,2020
313,315,toluene,-100.0,,ss,ionic,C(=O)C(Br)(Br)Br,O=CC(Br)(Br)Br,s,s,PHB,1999
314,316,toluene,-116.0,,ss,ionic,C(=O)C(Br)(Br)Cl,O=CC(Cl)(Br)Br,s,s,PHB,1999
315,317,toluene,-122.0,,ss,ionic,C(=O)C(Cl)(Cl)Br,O=CC(Cl)(Cl)Br,s,s,PHB,1999
316,318,n-heptane,-142.0,10.0,ss,ionic,C(=O)C(Cl)(Cl)Cl,O=CC(Cl)(Cl)Cl,s,s,PHB,1999
317,319,pyridine,-117.0,13.0,ss,ionic,C(=O)C(Cl)(Cl)Cl,O=CC(Cl)(Cl)Cl,s,s,PHB,1999
318,320,tetrahydrofuran,-52.0,-50.0,ss,ionic,C(=O)C(Cl)(Cl)Cl,O=CC(Cl)(Cl)Cl,s,s,PHB,1999
319,321,toluene,-134.0,,ss,ionic,C(=O)C(Cl)(Cl)Cl,O=CC(Cl)(Cl)Cl,s,s,PHB,1999
320,322,,-80.0,25.0,ls,ionic,C(=O)C(Cl)(Cl)Cl,O=CC(Cl)(Cl)Cl,l,s,PHB,1999
321,323,,-190.0,50.0,gg,ionic,C(=O)C(Cl)(Cl)Cl,O=CC(Cl)(Cl)Cl,g,g,PHB,1999
322,324,,-95.0,50.0,ls,ionic,C(=O)C(Cl)(Cl)Cl,O=CC(Cl)(Cl)Cl,l,s,PHB,1999
323,325,toluene,-114.0,,ss,ionic,C(=O)C(Br)(Br)F,O=CC(F)(Br)Br,s,s,PHB,1999
324,326,toluene,-122.0,,ss,ionic,C(=O)C(Br)(Cl)F,O=CC(F)(Cl)Br,s,s,PHB,1999
325,327,toluene,-179.0,,ss,ionic,C(=O)C(Cl)(Cl)F,O=CC(F)(Cl)Cl,s,s,PHB,1999
326,328,toluene,-135.0,,ss,ionic,C(=O)C(Br)(F)F,O=CC(F)(F)Br,s,s,PHB,1999
327,329,toluene,-152.0,,ss,ionic,C(=O)C(F)(F)Cl,O=CC(F)(F)Cl,s,s,PHB,1999
328,330,toluene,-155.0,,ss,ionic,C(=O)C(F)(F)F,O=CC(F)(F)F,s,s,PHB,1999
329,331,,-97.0,25.0,ls,ionic,C(=O)C(F)(F)F,O=CC(F)(F)F,l,s,PHB,1999
330,332,,-187.0,45.0,gg,ionic,C(=O)C(F)(F)F,O=CC(F)(F)F,g,g,PHB,1999
331,333,dichloromethane,-142.7,25.0,ss,ionic,C(=O)C(F)(F)F,O=CC(F)(F)F,s,s,PHB,1999
332,334,,-155.0,,ls,ionic,C(=O)C(F)(F)F,O=CC(F)(F)F,l,s,PHB,1999
333,335,tetrachloroethane,-84.1,,ss,misc,FC1=C(F)C(F)=C(F)C(C=O)=C1C=O,O=Cc1c(F)c(F)c(F)c(F)c1C=O,s,s,Functionalized and Degradable Polyphthalaldehyde Derivatives,2019
334,336,dichloromethane,-79.6,,ss,ionic,C1=CC=C(C(=C1)C=O)C=O,O=Cc1ccccc1C=O,s,s,Determination of ceiling temperature and thermodynamic properties of low ceiling temperature polyaldehydes,2018
335,337,dichloromethane,-49.8,,ss,misc,O=CC1=CC=CC=C1C=O,O=Cc1ccccc1C=O,s,s,Functionalized and Degradable Polyphthalaldehyde Derivatives,2019
336,338,,251.4,25.0,gg,ionic,C(=O)O,O=CO,g,g,Entropy of the Monomeric Forms of Formic Acid and Acetic Acid,1942
337,339,,19.3,90.0,ls,cationic,O=P1(O)OCCCO1,O=P1(O)OCCCO1,l,s,PHB,1999
338,340,,-79.9,,ls,ROP,O=S1(=O)CCCO1,O=S1(=O)CCCO1,l,s,The Ring-Opening Polymerization of Sultones. VII. Thermodynamic Parameters of 3-Hydroxy-1-propane Sulfonic Acid Sultone for Ring-Opening Polymerization,1974
339,341,toluene,-31.4,40.0,ss,ROP,O=S3SC2C1CCC(C1)C2S3,O=S1SC2C3CCC(C3)C2S1,s,s,PHB,1999
340,342,tetrahydrofuran,-35.4,,ss,ROMP,OC1CC=CC1,OC1CC=CC1,s,s,Dynamic Remodeling of Covalent Networks via Ring-Opening Metathesis Polymerization,2018
341,343,tetrahydrofuran,-75.9,,ss,ROMP,OCC1CC=CC1,OCC1CC=CC1,s,s,Dynamic Remodeling of Covalent Networks via Ring-Opening Metathesis Polymerization,2018
342,344,toluene,-54.4,,ss,ROP,S=C1CCCCCO1,S=C1CCCCCO1,s,s,"Organocatalytic ring-opening polymerization of thionolactones: anything O can do, S can do better",2021
