index,Solvent,dS (J/mol/K),Temp (C),BASE_State,BASE_Category,Monomer SMILES,Canonical SMILES
268,,-65.0,,ls,ROP,O=C2CC1CCCCC1O2,O=C1CC2CCCCC2O1
269,,21.0,127,ls,ROP,C1CCCCCCCCCCCOC(=O)CCC1,O=C1CCCCCCCCCCCCCCCO1
270,,23.0,97,ls,ROP,C1CCCCCCCCCCOC(=O)CCC1,O=C1CCCCCCCCCCCCCCO1
271,,25.0,127,ls,ROP,C1CCCCCCCCCOC(=O)CCC1,O=C1CCCCCCCCCCCCCO1
272,,26.0,127,ls,ROP,C1CCCCCCCCOC(=O)CCC1,O=C1CCCCCCCCCCCCO1
273,,25.0,127,ls,ROP,C1CCCCCCCOC(=O)CCC1,O=C1CCCCCCCCCCCO1
274,,-16.0,290,ls,ROP,C1CCCCCCCCNC(=O)C1,O=C1CCCCCCCCCCN1
275,,24.5,,ls,ROP,C1CCCCCCOC(=O)CCC1,O=C1CCCCCCCCCCO1
276,,18.0,127,ls,ROP,C1CCCCCOC(=O)CCC1,O=C1CCCCCCCCCO1
277,,12.0,127,ls,ROP,C1CCCCOC(=O)CCC1,O=C1CCCCCCCCO1
278,,5.0,127,ls,ROP,C1CCCCOC(=O)CC1,O=C1CCCCCCCO1
279,,-17.0,25,ls,ROP,C1CCCCNC(=O)C1,O=C1CCCCCCN1
280,toluene,-33.5,,ss,ROP,O=C1OCCCCCC1,O=C1CCCCCCO1
281,,127.0,,ls,ROP,C1CCCOC(=O)CC1,O=C1CCCCCCO1
282,,-29.0,250,ls,ROP,C1CCC(=O)NCC1,O=C1CCCCCN1
283,dichloromethane+toluene,-6.0,,ss,ROP,O=C1CCCCCO1,O=C1CCCCCO1
284,toluene,-53.9,,ss,ROP,C1CCC(=O)OCC1,O=C1CCCCCO1
285,dichloromethane+toluene,-6.0,,ss,ROP,C1CCC(=O)OCC1,O=C1CCCCCO1
286,,-6.0,,ls,ROP,C1CCC(=O)OCC1,O=C1CCCCCO1
287,,-25.0,25,ls,ROP,C1CCNC(=O)C1,O=C1CCCCN1
288,toluene,-30.8,,ss,ROP,C1CCOC(=O)C1,O=C1CCCCO1
289,dichloromethane+toluene,-14.7,,ss,ROP,C1CCOC(=O)C1,O=C1CCCCO1
290,,-14.0,,ls,ROP,C1COC(=O)CC1,O=C1CCCCO1
291,tetrahydrofuran,-23.7,,ss,ROP,O=C1CCCCS1,O=C1CCCCS1
292,toluene,-39.6,,ss,ROP,C1CC(=O)OC1,O=C1CCCO1
293,,-30.0,25,ls,ROP,C1CC(=O)OC1,O=C1CCCO1
294,,-51.0,127,ls,ROP,C1COC1=O,O=C1CCO1
295,,-17.5,277,ls,ROP,C1C(=O)OCC(=O)O1,O=C1COC(=O)CO1
296,,-13.0,127,ls,ROP,C1COC(=O)CO1,O=C1COCCO1
297,,-30.8,,ls,ROP,O=C1CSCCS1,O=C1CSCCS1
298,benzene,-12.0,,ss,cationic,C1C(=O)OC(=O)CSS1,O=C1CSSCC(=O)O1
299,dimethyl sulfoxide,-71.5,,ss,ROP,O=C1N[C@H]2CCC[C@@H]1O2,O=C1N[C@H]2CCC[C@@H]1O2
300,N-Methyl-2-pyrrolidone,-20.1,,ls,ROP,O=C1NC2CCCC1C2,O=C1NC2CCCC1C2
301,,0.0,-23.15 to -173.15,ls,ROP,O=C1NCCCO1,O=C1NCCCO1
302,toluene,-55.8,,ss,ROP,O=C1[C@H]2C[C@@H](O1)CCC2,O=C1O[C@H]2CCC[C@@H]1C2
303,toluene,-58.3,,ss,ROMP,O=C1C2CC(O1)C=CC2,O=C1OC2C=CCC1C2
304,toluene,-88.7,,ss,ROP,O=C1C2CC(O1)C=CC2,O=C1OC2C=CCC1C2
305,toluene,-58.3,,ss,ROMP,O=C1OC2C=CCC1C2,O=C1OC2C=CCC1C2
306,toluene,-88.7,,ss,ROP,O=C1OC2C=CCC1C2,O=C1OC2C=CCC1C2
307,,-127.7,25,gg,ROP,O=C1OC2CCC1CC2,O=C1OC2CCC1CC2
308,,-76.2,25,ls,ROP,O=C1OC2CCC1CC2,O=C1OC2CCC1CC2
309,toluene,-55.8,,ss,ROP,O=C1OC2CCCC1C2,O=C1OC2CCCC1C2
310,diglyme+tetrahydrofuran,-63.0,,ss,ROP,O=C2OC1CCCCC1O2,O=C1OC2CCCCC2O1
311,toluene,-72.0,,ss,ROP,O=C1OCC2CCCCC12,O=C1OCC2CCCCC12
312,tetrahydrofuran,-44.8,,ss,ROP,O=C1OCCCO1,O=C1OCCCO1
313,,-15.0,142,ls,ROP,C1COC(=O)C(=O)O1,O=C1OCCOC1=O
314,,-55.7,,ls,ROP,O=C1S[C@@H]2CC[C@H]1C2,O=C1S[C@@H]2CC[C@H]1C2
315,toluene,-100.0,,ss,ionic,C(=O)C(Br)(Br)Br,O=CC(Br)(Br)Br
316,toluene,-116.0,,ss,ionic,C(=O)C(Br)(Br)Cl,O=CC(Cl)(Br)Br
317,toluene,-122.0,,ss,ionic,C(=O)C(Cl)(Cl)Br,O=CC(Cl)(Cl)Br
318,n-heptane,-142.0,10,ss,ionic,C(=O)C(Cl)(Cl)Cl,O=CC(Cl)(Cl)Cl
319,pyridine,-117.0,13,ss,ionic,C(=O)C(Cl)(Cl)Cl,O=CC(Cl)(Cl)Cl
320,tetrahydrofuran,-52.0,-50,ss,ionic,C(=O)C(Cl)(Cl)Cl,O=CC(Cl)(Cl)Cl
321,toluene,-134.0,,ss,ionic,C(=O)C(Cl)(Cl)Cl,O=CC(Cl)(Cl)Cl
322,,-80.0,25,ls,ionic,C(=O)C(Cl)(Cl)Cl,O=CC(Cl)(Cl)Cl
323,,-190.0,50,gg,ionic,C(=O)C(Cl)(Cl)Cl,O=CC(Cl)(Cl)Cl
324,,-95.0,50,ls,ionic,C(=O)C(Cl)(Cl)Cl,O=CC(Cl)(Cl)Cl
325,toluene,-114.0,,ss,ionic,C(=O)C(Br)(Br)F,O=CC(F)(Br)Br
326,toluene,-122.0,,ss,ionic,C(=O)C(Br)(Cl)F,O=CC(F)(Cl)Br
327,toluene,-179.0,,ss,ionic,C(=O)C(Cl)(Cl)F,O=CC(F)(Cl)Cl
328,toluene,-135.0,,ss,ionic,C(=O)C(Br)(F)F,O=CC(F)(F)Br
329,toluene,-152.0,,ss,ionic,C(=O)C(F)(F)Cl,O=CC(F)(F)Cl
330,toluene,-155.0,,ss,ionic,C(=O)C(F)(F)F,O=CC(F)(F)F
331,,-97.0,25,ls,ionic,C(=O)C(F)(F)F,O=CC(F)(F)F
332,,-187.0,45,gg,ionic,C(=O)C(F)(F)F,O=CC(F)(F)F
333,dichloromethane,-142.7,25,ss,ionic,C(=O)C(F)(F)F,O=CC(F)(F)F
334,,-155.0,,ls,ionic,C(=O)C(F)(F)F,O=CC(F)(F)F
335,tetrachloroethane,-84.1,,ss,misc,FC1=C(F)C(F)=C(F)C(C=O)=C1C=O,O=Cc1c(F)c(F)c(F)c(F)c1C=O
336,dichloromethane,-79.6,,ss,ionic,C1=CC=C(C(=C1)C=O)C=O,O=Cc1ccccc1C=O
337,dichloromethane,-49.8,,ss,misc,O=CC1=CC=CC=C1C=O,O=Cc1ccccc1C=O
338,,251.4,25,gg,ionic,C(=O)O,O=CO
339,,19.3,90,ls,cationic,O=P1(O)OCCCO1,O=P1(O)OCCCO1
340,,-79.9,,ls,ROP,O=S1(=O)CCCO1,O=S1(=O)CCCO1
341,toluene,-31.4,40,ss,ROP,O=S3SC2C1CCC(C1)C2S3,O=S1SC2C3CCC(C3)C2S1
342,tetrahydrofuran,-35.4,,ss,ROMP,OC1CC=CC1,OC1CC=CC1
343,tetrahydrofuran,-75.9,,ss,ROMP,OCC1CC=CC1,OCC1CC=CC1
344,toluene,-54.4,,ss,ROP,S=C1CCCCCO1,S=C1CCCCCO1
